fips,county_name,state_name,net_migration,population_2016,percent_change
013181,Lincoln County,Georgia,247.0,7722.0,3.199
005079,Lincoln County,Arkansas,443.0,13866.0,3.195
018133,Putnam County,Indiana,1191.0,37382.0,3.186
002016,Aleutians West Census Area,Alaska,184.0,5781.0,3.183
053013,Columbia County,Washington,126.0,3960.0,3.182
022121,West Baton Rouge Parish,Louisiana,811.0,25554.0,3.174
035023,Hidalgo County,New Mexico,140.0,4436.0,3.156
045015,Berkeley County,South Carolina,6397.0,203066.0,3.15
004015,Mohave County,Arizona,6445.0,204574.0,3.15
020023,Cheyenne County,Kansas,84.0,2674.0,3.141
020171,Scott County,Kansas,155.0,4948.0,3.133
035006,Cibola County,New Mexico,842.0,27044.0,3.113
048077,Clay County,Texas,322.0,10359.0,3.108
016079,Shoshone County,Idaho,386.0,12440.0,3.103
001125,Tuscaloosa County,Alabama,6348.0,204767.0,3.1
048209,Hays County,Texas,6016.0,194662.0,3.09
013123,Gilmer County,Georgia,911.0,29514.0,3.087
012069,Lake County,Florida,10025.0,325154.0,3.083
030035,Glacier County,Montana,420.0,13636.0,3.08
037177,Tyrrell County,North Carolina,127.0,4139.0,3.068
030089,Sanders County,Montana,346.0,11293.0,3.064
001029,Cleburne County,Alabama,456.0,14914.0,3.058
048467,Van Zandt County,Texas,1630.0,53430.0,3.051
038071,Ramsey County,North Dakota,353.0,11664.0,3.026
028047,Harrison County,Mississippi,6068.0,200674.0,3.024
048089,Colorado County,Texas,633.0,20951.0,3.021
051520,Bristol City,Virginia,517.0,17146.0,3.015
016041,Franklin County,Idaho,390.0,12955.0,3.01
029125,Maries County,Missouri,269.0,8936.0,3.01
013167,Johnson County,Georgia,290.0,9708.0,2.987
017083,Jersey County,Illinois,663.0,22260.0,2.978
021223,Trimble County,Kentucky,260.0,8733.0,2.977
005019,Clark County,Arkansas,669.0,22513.0,2.972
030011,Carter County,Montana,34.0,1147.0,2.964
012089,Nassau County,Florida,2310.0,77951.0,2.963
032011,Eureka County,Nevada,60.0,2029.0,2.957
028069,Kemper County,Mississippi,299.0,10111.0,2.957
046083,Lincoln County,South Dakota,1565.0,52959.0,2.955
038059,Morton County,North Dakota,893.0,30249.0,2.952
028127,Simpson County,Mississippi,797.0,27169.0,2.933
031049,Deuel County,Nebraska,56.0,1910.0,2.932
008047,Gilpin County,Colorado,170.0,5805.0,2.929
019073,Greene County,Iowa,262.0,8944.0,2.929
030031,Gallatin County,Montana,2943.0,100882.0,2.917
029165,Platte County,Missouri,2810.0,96445.0,2.914
051069,Frederick County,Virginia,2430.0,83493.0,2.91
012053,Hernando County,Florida,5176.0,177900.0,2.909
013263,Talbot County,Georgia,188.0,6498.0,2.893
047049,Fentress County,Tennessee,518.0,17965.0,2.883
008109,Saguache County,Colorado,180.0,6253.0,2.879
050007,Chittenden County,Vermont,4642.0,161293.0,2.878
016027,Canyon County,Idaho,5947.0,206842.0,2.875
036019,Clinton County,New York,2314.0,80718.0,2.867
030059,Meagher County,Montana,52.0,1821.0,2.856
018153,Sullivan County,Indiana,596.0,20874.0,2.855
038007,Billings County,North Dakota,27.0,948.0,2.848
026065,Ingham County,Michigan,8132.0,287096.0,2.833
048073,Cherokee County,Texas,1461.0,51568.0,2.833
048315,Marion County,Texas,287.0,10136.0,2.831
051115,Mathews County,Virginia,250.0,8834.0,2.83
054009,Brooke County,West Virginia,656.0,23190.0,2.829
002105,Hoonah-Angoon Census Area,Alaska,60.0,2132.0,2.814
021061,Edmonson County,Kentucky,337.0,11991.0,2.81
013093,Dooly County,Georgia,393.0,14034.0,2.8
013275,Thomas County,Georgia,1253.0,44796.0,2.797
013257,Stephens County,Georgia,710.0,25446.0,2.79
053027,Grays Harbor County,Washington,1978.0,71011.0,2.785
001037,Coosa County,Alabama,304.0,10934.0,2.78
035041,Roosevelt County,New Mexico,532.0,19137.0,2.78
022047,Iberville Parish,Louisiana,920.0,33136.0,2.776
013247,Rockdale County,Georgia,2453.0,88354.0,2.776
046049,Faulk County,South Dakota,64.0,2307.0,2.774
040151,Woods County,Oklahoma,258.0,9303.0,2.773
017033,Crawford County,Illinois,534.0,19255.0,2.773
021155,Marion County,Kentucky,532.0,19212.0,2.769
030097,Sweet Grass County,Montana,100.0,3620.0,2.762
031103,Keya Paha County,Nebraska,22.0,797.0,2.76
013131,Grady County,Georgia,692.0,25089.0,2.758
029225,Webster County,Missouri,1035.0,37604.0,2.752
